"","82-breast-1","82-brain-1","82-brain-2"
"ANKFY1",1,32,83
"ANKH",0,1,1
"ANKHD1",0,11,9
"ANKHD1-EIF4EBP3",0,0,1
"ANKIB1",1,57,56
"ANKK1",0,0,1
"ANKLE1",0,2,0
"ANKLE2",3,20,14
"ANKMY1",0,11,26
"ANKMY2",6,70,139
"ANKRA2",2,75,65
"ANKRD1",0,1,0
"ANKRD10",3,45,88
"ANKRD11",4,65,42
"ANKRD12",3,77,81
"ANKRD13A",2,34,57
"ANKRD13B",0,0,0
"ANKRD13C",2,40,69
"ANKRD13D",0,11,14
"ANKRD16",0,1,4
"ANKRD17",1,93,117
"ANKRD18A",0,0,0
"ANKRD18B",0,0,0
"ANKRD18DP",0,0,0
"ANKRD19P",0,1,0
"ANKRD2",0,0,0
"ANKRD20A1",0,0,0
"ANKRD20A11P",0,0,0
"ANKRD20A2",0,0,0
"ANKRD20A3",0,0,0
"ANKRD20A4",0,0,0
"ANKRD20A5P",0,0,0
"ANKRD20A8P",0,0,0
"ANKRD20A9P",0,33,36
"ANKRD22",3,25,33
"ANKRD23",0,0,0
"ANKRD24",0,0,0
"ANKRD26",0,58,30
"ANKRD26P1",0,0,0
"ANKRD26P3",0,0,0
"ANKRD27",5,63,157
"ANKRD28",0,10,11
"ANKRD29",0,0,0
"ANKRD30A",0,179,155
"ANKRD30B",0,56,56
"ANKRD30BL",0,1,2
"ANKRD30BP2",0,0,0
"ANKRD31",0,0,0
"ANKRD32",0,29,23
"ANKRD33",0,0,0
"ANKRD33B",0,1,0
"ANKRD34A",0,15,22
"ANKRD34B",0,0,0
"ANKRD34C",0,0,0
"ANKRD35",1,7,32
"ANKRD36",1,51,75
"ANKRD36B",0,55,71
"ANKRD36BP1",0,0,2
"ANKRD36BP2",0,1,1
"ANKRD37",1,25,16
"ANKRD39",0,36,38
"ANKRD40",2,29,26
"ANKRD42",0,17,39
"ANKRD44",1,1,1
"ANKRD45",0,2,1
"ANKRD46",2,72,111
"ANKRD49",1,36,43
"ANKRD5",3,47,64
"ANKRD50",1,40,83
"ANKRD52",0,11,20
"ANKRD53",0,0,0
"ANKRD54",0,18,10
"ANKRD55",0,0,0
"ANKRD6",0,0,0
"ANKRD62P1-PARP4P3",0,5,2
"ANKRD63",0,0,0
"ANKRD65",0,0,2
"ANKRD7",0,0,0
"ANKRD9",0,0,1
"ANKS1A",0,23,19
"ANKS1B",0,7,8
"ANKS3",2,26,53
