"","82-breast-1","82-brain-1","82-brain-2"
"SERPINA7",0,0,0
"SERPINA9",0,0,0
"SERPINB1",3,130,216
"SERPINB10",0,0,0
"SERPINB11",0,0,0
"SERPINB12",0,0,0
"SERPINB13",0,0,0
"SERPINB2",1,1,5
"SERPINB3",0,0,0
"SERPINB4",0,0,0
"SERPINB5",0,2,4
"SERPINB6",3,118,156
"SERPINB7",0,0,0
"SERPINB8",0,5,11
"SERPINB9",0,0,2
"SERPINC1",0,0,0
"SERPIND1",0,0,0
"SERPINE1",2,3,2
"SERPINE2",0,2,0
"SERPINE3",0,0,0
"SERPINF1",0,0,0
"SERPINF2",0,2,0
"SERPING1",0,0,2
"SERPINH1",1,73,135
"SERPINI1",0,0,4
"SERPINI2",0,0,0
"SERTAD1",1,65,113
"SERTAD2",3,44,61
"SERTAD3",1,74,86
"SERTAD4",0,29,22
"SERTM1",0,0,0
"SESN1",0,16,22
"SESN2",0,13,16
"SESN3",0,0,0
"SESTD1",0,24,56
"SET",5,344,311
"SETBP1",1,4,4
"SETD1A",0,14,6
"SETD1B",0,14,6
"SETD2",3,51,49
"SETD3",2,67,109
"SETD4",0,23,33
"SETD5",1,49,39
"SETD6",0,9,17
"SETD7",4,53,106
"SETD8",0,17,9
"SETD9",1,36,30
"SETDB1",1,40,68
"SETDB2",1,17,41
"SETMAR",0,29,39
"SETX",1,101,159
"SEZ6",0,0,0
"SEZ6L",0,0,0
"SEZ6L2",2,60,68
"SF1",0,55,80
"SF3A1",0,20,27
"SF3A2",1,28,19
"SF3A3",3,86,138
"SF3B1",20,455,775
"SF3B14",6,332,282
"SF3B2",3,118,193
"SF3B3",2,130,317
"SF3B4",5,207,288
"SF3B5",4,187,175
"SFI1",0,24,42
"SFMBT1",0,23,48
"SFMBT2",0,9,10
"SFN",2,62,106
"SFPQ",2,64,41
"SFR1",0,8,7
"SFRP1",0,0,0
"SFRP2",0,0,0
"SFRP4",0,0,0
"SFRP5",0,0,0
"SFSWAP",0,29,31
"SFT2D1",2,167,226
"SFT2D2",3,33,45
"SFT2D3",1,5,2
"SFTA1P",0,0,0
"SFTA2",0,0,0
"SFTA3",0,0,0
"SFTPA1",0,0,0
"SFTPA2",0,4,4
"SFTPB",0,4,3
"SFTPC",0,0,0
"SFTPD",0,0,0
"SFXN1",0,80,111
"SFXN2",1,39,59
"SFXN3",0,14,17
"SFXN4",1,60,82
"SFXN5",0,0,3
"SGCA",0,0,0
"SGCB",0,2,2
"SGCD",1,0,0
"SGCE",0,86,84
"SGCG",0,0,0
"SGCZ",0,0,0
"SGIP1",0,0,0
"SGK1",6,21,63
"SGK110",0,0,0
"SGK196",0,3,2
"SGK2",0,0,0
"SGK223",0,28,25
"SGK3",0,0,0
"SGK494",0,2,1
"SGMS1",9,40,70
"SGMS2",1,6,23
"SGOL1",0,41,24
"SGOL2",0,35,34
"SGPL1",6,96,188
"SGPP1",0,1,1
"SGPP2",0,1,4
"SGSH",0,48,114
"SGSM1",1,6,6
"SGSM2",3,26,29
"SGSM3",9,329,560
"SGTA",6,220,353
"SGTB",0,6,3
"SH2B1",0,5,1
"SH2B2",0,0,0
"SH2B3",2,1,2
"SH2D1A",0,0,0
"SH2D1B",0,0,0
"SH2D2A",0,0,0
"SH2D3A",0,6,14
"SH2D3C",0,0,0
"SH2D4A",3,133,178
"SH2D4B",0,0,0
"SH2D5",0,0,0
"SH2D6",0,0,0
"SH2D7",0,0,0
"SH3BGR",0,20,34
"SH3BGRL",8,190,306
"SH3BGRL2",5,90,201
"SH3BGRL3",23,476,427
"SH3BP1",0,0,2
"SH3BP2",0,22,24
"SH3BP4",6,229,288
"SH3BP5",0,2,1
"SH3BP5L",3,16,35
"SH3D19",1,9,9
"SH3D21",0,3,2
"SH3GL1",0,28,34
"SH3GL1P1",0,1,0
"SH3GL1P2",0,0,0
"SH3GL2",0,0,0
"SH3GL3",0,0,0
"SH3GLB1",8,113,157
"SH3GLB2",0,15,24
"SH3KBP1",0,1,1
"SH3PXD2A",1,23,23
"SH3PXD2B",0,15,6
"SH3RF1",3,57,129
"SH3RF2",0,12,39
"SH3RF3",0,0,0
"SH3TC1",0,4,8
"SH3TC2",0,4,5
"SH3YL1",10,91,111
"SHANK1",0,0,0
"SHANK2",2,35,40
"SHANK3",0,1,0
"SHARPIN",3,66,101
"SHB",0,11,2
"SHBG",0,0,0
"SHC1",3,88,141
"SHC2",0,1,4
"SHC3",0,9,9
"SHC4",0,4,0
"SHCBP1",0,29,38
"SHCBP1L",0,0,0
"SHD",0,0,0
"SHE",0,0,0
"SHF",0,1,2
"SHFM1",8,544,408
"SHH",0,0,0
"SHISA2",0,0,2
"SHISA3",0,0,0
"SHISA4",0,2,2
"SHISA5",10,199,606
"SHISA6",0,0,0
"SHISA7",0,0,0
"SHISA8",0,0,0
"SHISA9",0,20,21
"SHKBP1",3,50,99
"SHMT1",2,159,315
"SHMT2",1,146,169
"SHOC2",0,70,92
"SHOX",0,0,0
"SHOX2",2,0,1
"SHPK",1,19,36
"SHPRH",1,27,41
"SHQ1",0,45,58
"SHROOM1",2,6,0
"SHROOM2",0,5,6
"SHROOM3",0,61,65
"SHROOM4",0,0,0
"SI",0,0,0
"SIAE",5,24,57
"SIAH1",0,14,9
"SIAH2",0,9,6
"SIAH3",0,0,1
"SIDT1",2,21,16
"SIDT2",2,28,38
"SIGIRR",2,95,130
"SIGLEC1",0,0,0
"SIGLEC10",0,1,3
"SIGLEC11",0,0,0
"SIGLEC12",0,0,0
"SIGLEC14",0,0,0
"SIGLEC15",0,2,9
"SIGLEC16",0,0,0
"SIGLEC5",0,0,0
"SIGLEC6",0,0,0
"SIGLEC7",0,0,0
"SIGLEC8",0,0,0
"SIGLEC9",0,0,0
"SIGLECP3",0,0,0
"SIGMAR1",2,105,201
"SIK1",0,0,0
"SIK2",1,6,7
"SIK3",0,9,6
"SIKE1",1,96,142
"SIL1",6,109,166
"SIM1",0,1,0
"SIM2",0,1,0
"SIN3A",2,67,110
"SIN3B",1,5,5
"SIPA1",3,4,2
"SIPA1L1",0,41,86
"SIPA1L2",0,8,20
"SIPA1L3",1,32,61
"SIRPA",0,0,0
"SIRPB1",0,0,0
"SIRPB2",0,0,0
"SIRPD",0,0,0
"SIRPG",0,0,0
"SIRT1",0,27,14
"SIRT2",8,122,202
"SIRT3",2,14,32
"SIRT4",0,4,7
"SIRT5",1,51,78
"SIRT6",0,7,3
"SIRT7",4,23,41
"SIT1",0,0,0
"SIVA1",6,407,471
"SIX1",0,47,66
"SIX2",0,12,10
"SIX3",0,0,0
"SIX4",2,38,60
"SIX5",0,19,22
"SIX6",0,0,0
"SKA1",0,7,10
"SKA2",1,118,118
"SKA3",0,29,26
"SKAP1",1,35,52
"SKAP2",0,13,16
"SKI",0,0,4
"SKIL",3,56,79
"SKINTL",0,0,0
"SKIV2L",1,31,51
"SKIV2L2",2,85,156
"SKOR1",0,0,0
"SKP1",39,1063,1455
"SKP1P2",0,0,1
"SKP2",0,31,64
"SLA",0,2,5
"SLA2",0,0,0
"SLAIN1",0,0,0
"SLAIN2",0,37,24
"SLAMF1",0,0,0
"SLAMF6",0,0,0
"SLAMF7",0,1,1
"SLAMF8",0,0,0
"SLAMF9",1,6,6
"SLBP",0,26,18
"SLC10A1",0,1,0
"SLC10A2",0,0,0
"SLC10A3",4,35,40
"SLC10A4",0,0,0
"SLC10A5",0,1,0
"SLC10A6",0,0,0
"SLC10A7",0,12,25
"SLC11A1",0,5,5
"SLC11A2",6,186,320
"SLC12A1",2,62,120
"SLC12A2",3,125,105
"SLC12A3",0,0,0
"SLC12A4",0,2,1
"SLC12A5",0,1,0
"SLC12A6",2,15,28
"SLC12A7",1,32,47
"SLC12A8",0,35,55
"SLC12A9",0,18,35
"SLC13A1",0,0,0
"SLC13A2",0,6,51
"SLC13A3",1,33,52
"SLC13A4",0,0,0
"SLC13A5",0,0,0
"SLC14A1",0,0,0
"SLC14A2",0,2,0
"SLC15A1",1,6,11
"SLC15A2",2,57,120
"SLC15A3",0,1,4
"SLC15A4",0,5,3
"SLC15A5",0,0,0
"SLC16A1",0,2,1
"SLC16A10",0,0,0
"SLC16A11",0,2,7
"SLC16A12",0,2,1
"SLC16A13",0,5,9
"SLC16A14",2,78,139
"SLC16A2",0,2,1
"SLC16A3",0,1,3
"SLC16A4",1,4,4
"SLC16A5",0,5,8
"SLC16A6",0,4,9
"SLC16A7",2,1,2
"SLC16A8",0,0,0
"SLC16A9",1,9,7
"SLC17A1",0,0,0
"SLC17A2",0,0,0
"SLC17A3",0,0,0
"SLC17A4",0,0,0
"SLC17A5",14,117,244
"SLC17A6",0,0,0
"SLC17A7",0,0,0
"SLC17A8",0,0,0
"SLC17A9",0,0,0
"SLC18A1",0,0,0
"SLC18A2",0,4,2
"SLC18A3",0,0,0
"SLC19A1",1,25,67
"SLC19A2",2,32,50
"SLC19A3",0,0,0
"SLC1A1",1,22,49
"SLC1A2",0,1,4
"SLC1A3",0,2,6
"SLC1A4",0,35,48
"SLC1A5",2,142,110
"SLC1A6",0,0,0
"SLC1A7",0,0,0
"SLC20A1",0,54,114
"SLC20A2",9,78,237
"SLC22A1",0,0,0
"SLC22A10",0,0,0
"SLC22A11",0,0,0
"SLC22A12",0,0,0
"SLC22A13",0,0,0
"SLC22A14",0,0,0
"SLC22A15",0,0,0
"SLC22A16",0,0,0
"SLC22A17",0,12,22
"SLC22A18",3,55,91
"SLC22A18AS",0,1,1
"SLC22A2",0,0,0
"SLC22A20",0,0,0
"SLC22A23",1,44,49
"SLC22A24",0,0,0
"SLC22A25",0,0,0
"SLC22A3",0,0,0
"SLC22A31",0,0,0
"SLC22A4",3,3,11
"SLC22A5",1,6,5
"SLC22A6",0,0,0
"SLC22A7",0,0,0
"SLC22A8",0,0,0
"SLC22A9",0,0,1
"SLC23A1",0,4,2
"SLC23A2",1,6,10
"SLC23A3",0,1,0
"SLC24A1",0,12,19
"SLC24A2",0,0,0
"SLC24A3",0,11,24
"SLC24A4",0,2,0
"SLC24A5",0,0,0
"SLC24A6",2,31,88
"SLC25A1",1,83,75
"SLC25A10",4,87,124
"SLC25A11",1,93,141
"SLC25A12",0,19,43
"SLC25A13",4,70,123
"SLC25A14",0,20,13
"SLC25A15",0,17,25
"SLC25A16",0,20,25
"SLC25A17",2,39,56
"SLC25A18",0,0,2
"SLC25A19",0,7,9
"SLC25A2",0,0,0
"SLC25A20",2,16,23
"SLC25A21",1,10,17
"SLC25A22",1,41,57
"SLC25A23",1,31,18
"SLC25A24",6,68,91
"SLC25A25",1,0,4
"SLC25A26",0,20,31
"SLC25A27",0,0,1
"SLC25A28",0,2,2
"SLC25A29",0,43,31
"SLC25A3",23,659,894
"SLC25A30",0,1,2
"SLC25A31",0,0,0
"SLC25A32",2,47,79
"SLC25A33",0,4,4
"SLC25A34",0,3,2
"SLC25A35",0,4,7
"SLC25A36",2,49,52
"SLC25A37",0,33,36
"SLC25A38",2,43,68
"SLC25A39",10,165,265
"SLC25A4",5,165,265
"SLC25A40",0,43,80
"SLC25A41",0,0,0
"SLC25A42",0,2,4
"SLC25A43",1,14,11
"SLC25A44",4,117,281
"SLC25A45",0,11,17
"SLC25A46",1,35,49
"SLC25A47",0,0,0
"SLC25A48",0,0,0
"SLC25A5",10,448,633
"SLC25A5-AS1",0,3,2
"SLC25A6",0,0,0
"SLC26A1",0,1,1
"SLC26A10",0,0,0
"SLC26A11",0,17,29
"SLC26A2",3,10,6
"SLC26A3",0,2,0
"SLC26A4",0,0,0
"SLC26A5",0,1,2
"SLC26A6",1,13,50
"SLC26A7",0,0,0
"SLC26A8",0,3,5
"SLC26A9",0,0,0
"SLC27A1",1,11,26
"SLC27A2",0,0,1
"SLC27A3",2,21,24
"SLC27A4",2,21,51
"SLC27A5",1,29,25
"SLC27A6",0,1,0
"SLC28A1",1,1,0
"SLC28A2",4,0,1
"SLC28A3",0,1,1
"SLC29A1",1,118,236
"SLC29A2",0,19,41
"SLC29A3",5,24,62
"SLC29A4",0,6,6
"SLC2A1",8,180,397
"SLC2A10",14,260,536
"SLC2A11",0,20,36
"SLC2A12",3,15,34
"SLC2A13",1,7,7
"SLC2A14",0,0,0
"SLC2A2",0,0,0
"SLC2A3",0,0,0
"SLC2A4",0,1,3
"SLC2A4RG",0,5,5
"SLC2A5",0,1,0
"SLC2A6",0,1,1
"SLC2A7",0,0,0
"SLC2A8",0,5,2
"SLC2A9",0,1,3
"SLC30A1",0,2,2
"SLC30A10",0,0,0
"SLC30A2",0,1,1
"SLC30A3",0,3,4
"SLC30A4",0,2,3
"SLC30A5",2,58,136
"SLC30A6",1,73,124
"SLC30A7",4,86,145
"SLC30A8",0,0,1
"SLC30A9",5,125,208
"SLC31A1",3,220,444
"SLC31A2",4,23,38
"SLC32A1",0,0,0
"SLC33A1",1,58,74
"SLC34A1",0,0,0
"SLC34A2",0,0,0
"SLC34A3",0,0,0
"SLC35A1",10,275,416
"SLC35A2",8,103,232
"SLC35A3",6,74,150
"SLC35A4",11,166,405
"SLC35A5",1,19,62
"SLC35B1",5,210,292
"SLC35B2",8,114,307
"SLC35B3",8,75,140
"SLC35B4",0,25,37
"SLC35C1",7,40,93
"SLC35C2",10,144,335
"SLC35D1",0,13,23
"SLC35D2",1,7,2
"SLC35D3",0,0,0
"SLC35E1",2,115,72
"SLC35E2",0,9,20
"SLC35E2B",2,21,46
"SLC35E3",0,28,41
"SLC35E4",0,1,3
"SLC35F1",0,3,1
"SLC35F2",0,0,0
"SLC35F3",0,0,0
"SLC35F4",0,0,0
"SLC35F5",12,129,309
"SLC35G1",0,1,0
"SLC35G3",0,0,0
"SLC35G5",0,0,1
"SLC35G6",0,0,0
"SLC36A1",0,0,0
"SLC36A2",0,0,3
"SLC36A3",0,0,0
"SLC36A4",2,12,25
"SLC37A1",1,24,35
"SLC37A2",0,2,5
"SLC37A3",3,35,83
"SLC37A4",4,79,128
"SLC38A1",12,402,597
"SLC38A10",8,50,107
"SLC38A11",0,0,0
"SLC38A2",12,229,414
"SLC38A3",0,1,4
"SLC38A4",0,2,1
"SLC38A5",0,0,0
"SLC38A6",0,34,39
"SLC38A7",2,14,20
"SLC38A8",0,0,0
"SLC38A9",0,12,28
"SLC39A1",13,211,536
"SLC39A10",3,110,115
"SLC39A11",4,49,81
"SLC39A12",0,0,0
"SLC39A13",3,19,53
"SLC39A14",1,6,13
"SLC39A2",0,4,7
"SLC39A3",1,47,94
"SLC39A4",1,192,199
"SLC39A5",0,0,0
"SLC39A6",6,235,415
"SLC39A7",18,294,817
"SLC39A8",0,16,41
"SLC39A9",7,148,349
"SLC3A1",0,0,0
"SLC3A2",16,475,746
"SLC40A1",6,247,479
"SLC41A1",1,20,20
"SLC41A2",0,18,25
"SLC41A3",1,17,31
"SLC43A1",0,5,8
"SLC43A2",1,3,5
"SLC43A3",7,92,148
"SLC44A1",5,37,34
"SLC44A2",58,622,1511
"SLC44A3",3,21,60
"SLC44A4",63,661,1550
"SLC44A5",0,27,29
"SLC45A1",0,0,1
"SLC45A2",0,0,0
"SLC45A3",0,1,2
"SLC45A4",0,20,25
"SLC46A1",0,7,7
"SLC46A2",0,0,0
"SLC46A3",0,0,0
"SLC47A1",0,0,2
"SLC47A2",0,0,0
"SLC48A1",2,27,53
"SLC4A1",0,2,0
"SLC4A10",0,0,7
"SLC4A11",5,31,85
"SLC4A1AP",1,75,118
"SLC4A2",1,95,218
"SLC4A3",0,11,13
"SLC4A4",0,0,0
"SLC4A5",0,9,7
"SLC4A7",0,9,7
"SLC4A8",0,7,37
"SLC4A9",0,0,0
"SLC50A1",5,260,338
"SLC5A1",1,8,23
"SLC5A10",0,0,0
"SLC5A11",0,0,1
"SLC5A12",0,0,0
"SLC5A2",0,1,2
"SLC5A3",0,11,10
"SLC5A4",0,1,0
"SLC5A5",0,3,4
"SLC5A6",9,273,621
"SLC5A7",0,0,0
"SLC5A8",0,2,1
"SLC5A9",0,0,0
"SLC6A1",0,0,0
"SLC6A10P",0,0,0
"SLC6A11",0,0,0
"SLC6A12",0,0,1
"SLC6A13",0,0,0
"SLC6A14",8,38,106
"SLC6A15",0,0,0
"SLC6A16",0,0,2
"SLC6A17",0,0,0
"SLC6A18",0,0,0
"SLC6A19",0,0,0
"SLC6A2",0,0,0
"SLC6A20",0,3,2
"SLC6A3",0,0,0
"SLC6A4",0,2,3
"SLC6A5",0,0,0
"SLC6A6",0,4,7
"SLC6A7",0,1,0
"SLC6A8",0,11,7
"SLC6A9",1,28,70
"SLC7A1",0,14,24
"SLC7A10",0,0,0
"SLC7A11",3,18,8
"SLC7A13",0,2,2
"SLC7A14",0,2,2
"SLC7A2",0,2,3
"SLC7A3",0,0,0
"SLC7A4",0,0,0
"SLC7A5",0,35,32
"SLC7A5P1",1,0,0
"SLC7A5P2",1,6,10
"SLC7A6",0,35,50
"SLC7A6OS",0,11,22
"SLC7A7",0,0,0
"SLC7A8",0,47,73
"SLC7A9",0,0,0
"SLC8A1",1,1,0
"SLC8A2",0,0,0
"SLC8A3",0,0,0
"SLC9A1",4,24,24
"SLC9A10",0,0,0
"SLC9A11",0,0,0
"SLC9A2",2,25,47
"SLC9A3",0,0,0
"SLC9A3R1",3,83,270
"SLC9A3R2",3,29,29
"SLC9A4",0,12,22
"SLC9A5",0,5,4
"SLC9A6",0,0,0
"SLC9A7",0,1,0
"SLC9A7P1",0,0,0
"SLC9A8",4,35,78
"SLC9A9",0,0,0
"SLC9B1",0,1,0
"SLC9B2",0,0,0
"SLCO1A2",0,2,4
"SLCO1B1",0,0,0
"SLCO1B3",0,0,0
"SLCO1B7",0,0,0
"SLCO1C1",0,0,0
"SLCO2A1",0,1,0
"SLCO2B1",0,0,0
"SLCO3A1",0,20,26
"SLCO4A1",1,2,12
"SLCO4C1",0,0,4
"SLCO5A1",0,0,0
"SLCO6A1",0,0,0
"SLED1",0,0,0
"SLFN11",0,0,0
"SLFN12",0,9,6
"SLFN12L",0,0,0
"SLFN13",0,12,29
"SLFN14",0,0,0
"SLFN5",5,57,93
"SLFNL1",0,0,0
"SLIRP",2,320,312
"SLIT1",0,0,0
"SLIT2",0,8,13
"SLIT2-IT1",0,1,0
"SLIT3",0,0,0
"SLITRK1",0,0,0
"SLITRK2",0,0,0
"SLITRK3",0,1,0
"SLITRK4",0,0,0
"SLITRK5",0,1,1
"SLITRK6",2,9,10
"SLK",2,35,25
"SLMAP",2,16,21
"SLMO1",0,1,1
"SLMO2",1,81,115
"SLMO2-ATP5E",0,0,0
"SLN",0,0,0
"SLPI",396,5023,9345
"SLTM",2,151,158
"SLU7",4,125,151
"SLURP1",0,8,9
"SLX1A",0,0,0
"SLX1A-SULT1A3",0,0,0
"SLX1B",0,0,0
"SLX1B-SULT1A4",0,0,0
"SLX4",0,6,19
"SMA4",0,12,9
"SMA5",0,15,24
"SMAD1",2,58,132
"SMAD2",2,43,55
"SMAD3",1,20,22
"SMAD4",1,15,13
"SMAD5",0,92,90
"SMAD5-AS1",0,1,1
"SMAD6",0,1,1
"SMAD7",0,8,11
"SMAD9",0,0,5
"SMAGP",4,37,51
"SMAP1",1,26,35
"SMAP2",0,35,62
"SMARCA1",0,3,0
"SMARCA2",0,77,91
"SMARCA4",13,219,335
"SMARCA5",4,82,139
"SMARCAD1",0,68,85
"SMARCAL1",3,25,65
"SMARCB1",0,17,18
"SMARCC1",2,115,149
"SMARCC2",0,94,88
"SMARCD1",0,10,19
"SMARCD2",1,23,37
"SMARCD3",0,4,1
"SMARCE1",4,146,193
"SMC1A",2,219,304
"SMC1B",0,2,2
"SMC2",1,99,101
"SMC3",1,106,102
"SMC4",0,101,128
"SMC5",2,115,147
"SMC6",1,54,76
"SMCHD1",1,22,22
"SMCP",0,0,0
"SMCR5",0,1,2
"SMCR7",2,62,142
"SMCR7L",1,46,118
"SMCR8",3,17,32
"SMCR9",0,0,0
"SMEK1",0,38,38
"SMEK2",3,136,227
"SMEK3P",0,0,0
"SMG1",2,57,80
"SMG5",3,131,236
"SMG6",0,11,35
"SMG7",1,109,170
"SMG8",4,41,95
"SMG9",0,30,32
"SMN1",0,0,0
"SMN2",0,0,0
"SMNDC1",0,21,31
"SMO",0,0,0
"SMOC1",0,0,0
"SMOC2",2,17,53
"SMOX",2,66,57
"SMPD1",1,7,6
"SMPD2",1,8,18
"SMPD3",0,23,57
"SMPD4",1,49,97
"SMPDL3A",5,139,149
"SMPDL3B",5,88,123
"SMPX",0,0,0
"SMR3A",0,0,0
"SMR3B",0,0,0
"SMS",1,211,332
"SMTN",1,21,27
"SMTNL1",0,0,0
"SMTNL2",0,0,0
"SMU1",5,168,282
"SMUG1",4,131,191
"SMURF1",2,17,11
"SMURF2",0,6,2
"SMYD1",0,0,0
"SMYD2",1,65,134
"SMYD3",1,15,15
"SMYD4",0,19,35
"SMYD5",2,25,57
"SNAI1",0,1,0
"SNAI2",0,0,0
"SNAI3",0,0,0
"SNAP23",13,276,427
"SNAP25",0,17,1
"SNAP29",3,68,154
"SNAP47",2,123,266
"SNAP91",0,0,0
"SNAPC1",1,35,45
"SNAPC2",1,53,70
"SNAPC3",8,136,168
"SNAPC4",2,14,16
"SNAPC5",2,50,61
"SNAPIN",7,192,243
"SNAR-A1",0,0,0
"SNAR-A10",0,0,0
"SNAR-A11",0,0,0
"SNAR-A12",0,0,0
"SNAR-A13",0,0,0
"SNAR-A14",0,0,0
"SNAR-A2",0,0,0
"SNAR-A3",0,0,0
"SNAR-A4",0,0,0
"SNAR-A5",0,0,0
"SNAR-A6",0,0,0
"SNAR-A7",0,0,0
"SNAR-A8",0,0,0
"SNAR-A9",0,0,0
"SNAR-B1",0,0,0
"SNAR-B2",0,0,0
"SNAR-C1",0,0,0
"SNAR-C2",0,0,0
"SNAR-C3",0,0,0
"SNAR-C4",0,0,0
"SNAR-C5",0,0,0
"SNAR-D",0,0,0
"SNAR-E",0,0,0
"SNAR-F",0,0,0
"SNAR-G1",0,0,0
"SNAR-G2",0,0,0
"SNAR-H",0,0,0
"SNAR-I",0,0,0
"SNCA",0,0,0
"SNCAIP",0,0,0
"SNCB",0,0,0
"SNCG",0,31,33
"SND1",10,283,543
"SND1-IT1",0,4,6
"SNED1",0,6,6
"SNF8",3,86,161
"SNHG1",0,11,13
"SNHG10",0,21,19
"SNHG11",0,67,111
"SNHG12",2,5,6
"SNHG15",1,94,95
"SNHG3",1,19,14
"SNHG4",0,1,2
"SNHG5",0,120,88
"SNHG6",0,27,22
"SNHG7",0,8,1
"SNHG8",0,24,34
"SNHG9",0,44,19
"SNIP1",0,7,15
"SNN",0,8,9
"SNORA1",0,0,0
"SNORA10",0,0,1
"SNORA11",0,0,0
"SNORA11B",0,0,0
"SNORA11C",0,0,0
"SNORA11D",0,0,0
"SNORA11E",0,0,0
"SNORA12",0,0,0
"SNORA13",0,1,0
"SNORA14A",0,0,0
"SNORA14B",0,1,0
"SNORA15",0,0,0
"SNORA16A",0,0,0
"SNORA16B",0,0,0
"SNORA17",0,0,0
"SNORA18",0,2,0
"SNORA19",0,0,0
"SNORA20",0,0,0
"SNORA21",0,1,0
"SNORA22",0,0,1
"SNORA23",0,0,0
"SNORA24",0,1,0
"SNORA25",0,0,0
"SNORA26",0,0,1
"SNORA27",0,0,0
"SNORA28",0,0,0
"SNORA29",0,0,0
"SNORA2A",0,0,0
"SNORA2B",0,0,0
"SNORA3",0,0,0
"SNORA30",0,0,0
"SNORA31",0,0,0
"SNORA32",0,1,0
"SNORA33",0,2,0
"SNORA34",0,0,0
"SNORA35",0,0,0
"SNORA36A",0,0,0
"SNORA36B",0,0,0
"SNORA36C",0,0,0
"SNORA37",0,0,0
"SNORA38",0,0,0
"SNORA38B",0,0,0
"SNORA39",0,1,0
"SNORA4",0,0,0
"SNORA40",0,0,0
"SNORA41",0,0,0
"SNORA42",0,0,0
"SNORA43",0,0,0
"SNORA44",0,0,0
"SNORA45",0,0,0
"SNORA46",0,0,0
"SNORA47",0,0,0
"SNORA48",0,0,0
"SNORA49",0,0,0
"SNORA50",0,0,0
"SNORA51",0,0,0
"SNORA52",0,0,0
"SNORA53",0,0,1
"SNORA54",0,0,0
"SNORA55",0,0,0
"SNORA56",0,0,0
"SNORA57",0,1,1
"SNORA58",0,1,0
"SNORA59A",0,0,0
"SNORA59B",0,0,0
"SNORA5A",0,0,0
"SNORA5B",0,0,0
"SNORA5C",0,2,0
"SNORA6",0,0,0
"SNORA60",0,1,0
"SNORA61",0,0,1
"SNORA62",0,1,0
"SNORA63",0,0,0
"SNORA64",0,0,1
"SNORA65",0,0,1
"SNORA66",0,0,0
"SNORA67",0,1,0
"SNORA68",0,1,0
"SNORA69",0,0,0
"SNORA70",0,4,3
"SNORA70B",0,0,0
"SNORA70C",0,0,0
"SNORA70D",0,0,0
"SNORA70E",0,0,0
"SNORA70F",0,0,0
"SNORA70G",0,0,1
"SNORA71A",0,0,0
"SNORA71B",0,2,0
"SNORA71C",0,0,0
"SNORA71D",0,0,2
"SNORA72",0,0,0
"SNORA74A",0,0,0
"SNORA74B",0,0,0
"SNORA75",0,0,0
"SNORA76",0,0,0
"SNORA77",0,0,0
"SNORA78",0,0,0
"SNORA79",0,0,0
"SNORA7A",0,0,0
"SNORA7B",0,0,0
"SNORA8",0,0,2
"SNORA80",0,0,0
"SNORA80B",0,0,0
"SNORA81",0,0,0
"SNORA84",0,0,0
"SNORA9",0,0,1
"SNORD10",0,0,0
"SNORD100",0,0,0
"SNORD101",0,0,0
"SNORD102",0,0,0
"SNORD103A",0,0,0
"SNORD103B",0,0,0
"SNORD104",0,0,0
"SNORD105",0,0,0
"SNORD105B",0,0,0
"SNORD107",0,0,0
"SNORD108",0,0,0
"SNORD109A",0,0,0
"SNORD109B",0,0,0
"SNORD11",0,0,0
"SNORD110",0,0,0
"SNORD111",0,0,0
"SNORD111B",0,0,0
"SNORD113-1",0,0,0
"SNORD113-2",0,0,0
"SNORD113-4",0,0,0
"SNORD113-5",0,0,0
"SNORD113-6",0,0,0
"SNORD113-7",0,0,0
"SNORD113-9",0,0,0
"SNORD114-1",0,0,0
"SNORD114-10",0,0,0
"SNORD114-11",0,0,0
"SNORD114-12",0,0,0
"SNORD114-13",0,0,0
"SNORD114-14",0,0,0
"SNORD114-15",0,0,0
"SNORD114-16",0,0,0
"SNORD114-17",0,0,0
"SNORD114-18",0,0,0
"SNORD114-19",0,0,0
"SNORD114-2",0,0,0
"SNORD114-20",0,0,0
"SNORD114-21",0,0,0
"SNORD114-22",0,0,0
"SNORD114-23",0,0,0
"SNORD114-24",0,0,0
"SNORD114-25",0,0,0
"SNORD114-26",0,0,0
"SNORD114-27",0,0,0
"SNORD114-28",0,0,0
"SNORD114-29",0,0,0
"SNORD114-3",0,0,0
"SNORD114-30",0,0,0
"SNORD114-31",0,0,0
"SNORD114-4",0,0,0
"SNORD114-5",0,0,0
"SNORD114-6",0,0,0
"SNORD114-7",0,0,0
"SNORD114-8",0,0,0
"SNORD114-9",0,0,0
"SNORD115-1",0,0,0
"SNORD115-10",0,0,0
"SNORD115-11",0,0,0
"SNORD115-12",0,0,0
"SNORD115-13",0,0,0
"SNORD115-14",0,0,0
"SNORD115-15",0,0,0
"SNORD115-16",0,0,0
"SNORD115-17",0,0,0
"SNORD115-18",0,0,0
"SNORD115-19",0,0,0
"SNORD115-2",0,0,0
"SNORD115-20",0,0,0
"SNORD115-21",0,0,0
"SNORD115-22",0,0,0
"SNORD115-23",0,0,0
"SNORD115-24",0,0,0
"SNORD115-25",0,0,0
"SNORD115-26",0,0,0
"SNORD115-27",0,0,0
"SNORD115-28",0,0,0
"SNORD115-29",0,0,0
"SNORD115-3",0,0,0
"SNORD115-30",0,0,0
"SNORD115-31",0,0,0
"SNORD115-32",0,0,0
